0.554 1.604 0.077 0.133 0.601
0.091 0.412 0.474 1.277 2.138
0.935 0.593 0.503 0.731 0.253
0.452 1.7 0.959 1.233 0.04
0.035 0.233 0.839 0.691 2.141
0.081 0.568 0.873 0.648 2.076
0.382 0.559 0.708 1.239 0.675
2.311 1.58 0.262 0.845 0.856
0.302 1.534 1.268 0.269 1.659
0.172 0.554 0.689 1.104 0.547
0.247 0.714 1.065 1.628 0.715
1.177 0.158 1.557 0.601 0.153
1.913 0.682 0.056 0.245 1.522
0.966 0.34 0.579 1.198 3.171
0.579 0.194 0.182 0.488 1.67
1.382 0.834 0.169 0.838 0.327
0.392 1.678 0.973 0.49 1.125
0.076 0.501 0.409 1.845 1.637
0.951 0.965 0.238 0.737 0.216
1.461 1.243 0.016 2.588 1.857
1.883 0.437 0.369 0.688 0.113
0.195 0.304 1.277 0.21 1.26
0.752 0.03 0.545 0.645 1.021
0.994 2.416 2.044 2.179 0.378
0.735 1.939 0.227 1.045 1.012
1.783 0.76 2.453 1.795 1.559
1.622 0.574 1.352 0.428 0.954
1.819 0.531 2.081 1.294 0.294
0.751 0.261 0.938 2.858 0.767
0.599 1.91 1.44 1.116 0.391
1.831 1.579 1.845 0.747 0.47
1.326 0.757 1.175 0.871 0.332
0.083 2.002 0.078 2.159 1.494
2.79 0.752 0.929 1.61 0.941
0.17 1.373 0.042 0.276 1.185
0.42 0.888 1.361 0.42 1.544
0.606 0.179 0.623 0.968 0.269
1.356 0.452 0.358 0.703 2.278
1.914 1.653 1.226 0.324 0.631
0.669 1.479 0.081 1.811 0.419
2.084 1.828 1.162 0.57 0.328
0.065 0.255 0.96 1.083 0.006
0.608 0.962 1 0.095 0.107
1.192 1.219 0.671 0.711 0.377
1.505 0.485 0.56 0.89 0.385
0.507 1.54 0.217 0.986 0.428
0.29 0.668 0.161 0.104 1.534
0.259 0.438 0.058 0.78 0.988
0.393 0.088 0.517 0.098 2.215
0.723 1.599 1.074 1.624 1.322
0.272 1.818 0.276 0.357 1.216
0.141 0.5 0.913 1.359 0.247
1.227 0.7 0.767 0.615 1.218
0.5 0.988 0.697 1.593 1.394
0.661 0.623 1.669 0.195 1.778
0.318 1.159 0.324 0.524 0.304
0.035 1.113 0.657 1.397 1.858
0.023 0.153 1.585 0.367 0.462
0.207 1.143 0.404 0.266 0.15
0.634 1.088 0.733 1.142
